codigo_departamento,nombre_departamento,codigo_municipio,nombre_municipio,codigo_centro_poblado,nombre_centro_poblado,tipo
52,NARIÑO,52001,PASTO,52001000,PASTO,CM
52,NARIÑO,52001,PASTO,52001000,SAN JUAN DE PASTO,CM
52,NARIÑO,52001,PASTO,52001001,CATAMBUCO,CP
52,NARIÑO,52001,PASTO,52001003,EL ENCANO,CP
52,NARIÑO,52001,PASTO,52001004,GENOY,CP
52,NARIÑO,52001,PASTO,52001005,LA LAGUNA,CP
52,NARIÑO,52001,PASTO,52001007,OBONUCO,CP
52,NARIÑO,52001,PASTO,52001008,SANTA BARBARA - PASTO,CP
52,NARIÑO,52001,PASTO,52001009,JONGOVITO,CP
52,NARIÑO,52001,PASTO,52001010,GUALMATÁN - PASTO,CP
52,NARIÑO,52001,PASTO,52001012,MAPACHICO - ATICANCE,CP
52,NARIÑO,52001,PASTO,52001013,EL SOCORRO CIMARRÓN,CP
52,NARIÑO,52001,PASTO,52001016,MOTILÓN,CP
52,NARIÑO,52001,PASTO,52001019,CEROTAL,CP
52,NARIÑO,52001,PASTO,52001021,LA VICTORIA,CP
52,NARIÑO,52001,PASTO,52001024,SAN JOSÉ,CP
52,NARIÑO,52001,PASTO,52001025,EL PUERTO,CP
52,NARIÑO,52001,PASTO,52001027,CABRERA,CP
52,NARIÑO,52001,PASTO,52001029,DOLORES,CP
52,NARIÑO,52001,PASTO,52001030,BUESAQUILLO,CP
52,NARIÑO,52001,PASTO,52001033,CUJACAL,CP
52,NARIÑO,52001,PASTO,52001036,TESCUAL,CP
52,NARIÑO,52001,PASTO,52001039,ANGANOY,CP
52,NARIÑO,52001,PASTO,52001042,DAZA,CP
52,NARIÑO,52001,PASTO,52001051,CUBIJAN BAJO,CP
52,NARIÑO,52001,PASTO,52001052,SAN FERNANDO,CP
52,NARIÑO,52001,PASTO,52001053,MOCONDINO,CP
52,NARIÑO,52001,PASTO,52001055,CANCHALA,CP
52,NARIÑO,52001,PASTO,52001056,LOS ANGELES,CP
52,NARIÑO,52001,PASTO,52001058,EL ROSARIO - PASTO,CP
52,NARIÑO,52001,PASTO,52001059,JAMONDINO,CP
52,NARIÑO,52001,PASTO,52001063,BOTANILLA,CP
52,NARIÑO,52001,PASTO,52001064,CHARGUAYACO,CP
52,NARIÑO,52001,PASTO,52001065,CRUZ DE AMARILLO,CP
52,NARIÑO,52001,PASTO,52001066,EL CAMPANERO,CP
52,NARIÑO,52001,PASTO,52001068,JURADO,CP
52,NARIÑO,52001,PASTO,52001071,LA MERCED,CP
52,NARIÑO,52001,PASTO,52001072,LAS ENCINAS,CP
52,NARIÑO,52001,PASTO,52001073,MAPACHICO ALTO,CP
52,NARIÑO,52001,PASTO,52001074,MAPACHICO SAN JOSÉ,CP
52,NARIÑO,52001,PASTO,52001076,SAN FRANCISCO,CP
52,NARIÑO,52001,PASTO,52001078,SAN JUAN DE ANGANOY,CP
52,NARIÑO,52001,PASTO,52001079,SANTA LUCÍA,CP
52,NARIÑO,52001,PASTO,52001080,VILLA MARÍA,CP
52,NARIÑO,52001,PASTO,52001086,GUALMATAN ALTO,CP
52,NARIÑO,52001,PASTO,52001087,LA CALDERA,CP
